ROTATION,VOL_GR_1,E,N
111.05392,1,2682253.689,1252909.371
75.64644,2,2682313.737,1242659.34
70.85612,2,2682329.775,1242914.685
15.40596,2,2682518.427,1242978.382
70.63767,3,2682504.794,1245709.507
29.63396,1,2682524.605,1253180.789
55.72867,3,2682795.236,1243701.843
227.77175,2,2684707.676,1249113.681
332.94826,2,2684753.47,1249502.933
7.3186,2,2684764.044,1250245.726
205.67426,2,2684853.844,1248244.829
36.10724,2,2685065.335,1249547.297
39.87048,2,2685114.061,1249671.166
216.02508,3,2685298.138,1245253.066
41.92021,2,2685390.861,1249321.144
41.50711,2,2685448.46,1249420.525
247.72973,3,2685736.535,1247109.623
244.51125,2,2685468.122,1247592.946
28.89993,3,2685776.475,1250126.95
289.00922,2,2686061.715,1247649.521
38.47068,3,2686031.576,1249623.814
25.40642,3,2685868.847,1250480.28
252.04665,3,2686295.858,1246505.426
229.91679,2,2686289.798,1247075.078
320.38752,2,2686275.102,1247645.111
20.17179,2,2686215.065,1248581.856
237.16437,3,2686442.817,1246527.428
216.26101,2,2686596.627,1246903.186
316.10662,2,2686620.833,1247881.938
9.04554,3,2686686.508,1249285.304
31.95678,3,2686520.041,1250141.138
336.37062,2,2687050.279,1247782.464
232.19925,2,2687239.261,1245822.639
253.73978,2,2687266.177,1246345.292
147.88762,2,2687623.267,1246883.084
36.58762,2,2687495.643,1247846.59
230.94201,2,2687999.993,1245352.008
288.13845,2,2687876.905,1245948.051
269.9708,1,2688214.469,1245948.514
271.85425,1,2688105.49,1246602.932
42.80424,2,2688423.261,1246851.772
20.08776,2,2688784.596,1246458.583
230.69982,1,2689097.518,1245566.367
47.70477,1,2689319.729,1245892.827
341.35326,2,2677761.733,1246942.16
39.34057,3,2677534.077,1248533.312
27.03487,3,2677559.634,1249059.09
16.0419,3,2677534.086,1249333.94
54.8033,3,2677994.199,1247296.294
48.46906,3,2678105.537,1247479.773
42.74756,3,2677993.398,1247907.232
189.85311,3,2677857.878,1252083.543
352.85422,2,2678154.508,1246547.873
51.6232,3,2678189.963,1247784.808
45.53436,3,2678332.137,1248065.61
81.81763,4,2678659.908,1247496.23
54.75628,3,2678707.38,1247359.472
143.95099,1,2678500.536,1252310.302
139.00019,1,2678685.897,1252339.284
214.44155,1,2678880.247,1252252.636
328.91954,1,2679015.582,1252452.371
205.17148,1,2679292.979,1251717.477
238.9565,1,2679099.236,1252061.827
52.8354,2,2679612.586,1245802.531
253.71669,2,2679547.208,1249909.403
207.35881,2,2679437.696,1251444.866
111.69333,1,2679680.276,1252096.768
197.43492,1,2679900.594,1251421.98
155.42653,1,2679775.615,1251786.19
64.13753,1,2680282.312,1243725.759
79.90645,1,2680062.295,1244011.864
59.58483,3,2680250.328,1245344.401
57.08442,4,2680062.502,1245656.139
57.31958,4,2680241.441,1245444.147
216.8699,3,2680174.703,1250340.569
54.24105,2,2680596.286,1243652.701
31.26665,3,2680593.41,1245965.872
241.42677,2,2680551.228,1250798.909
56.58831,3,2680908.32,1243856.776
59.92047,4,2680825.14,1244446.922
335.37644,2,2680761.386,1248590.57
137.94028,2,2680792.043,1253499.274
168.94152,2,2680787.803,1253798.445
71.61708,4,2681093.865,1242348.234
72.5509,4,2681155.62,1244101.196
197.02493,2,2681076.235,1250455.699
88.57165,1,2681277.239,1253442.758
68.8685,4,2681354.069,1244068.409
65.2807,4,2681547.016,1244148.81
70.07304,4,2681380.307,1244537.925
72.14148,3,2681391.273,1245058.542
140.3861,2,2681403.129,1250641.253
149.34685,1,2681632.801,1250707.106
6.52589,2,2681512.458,1252327.555
8.22672,2,2681540.98,1252191.432
22.44545,1,2681471.309,1252794.555
23.49932,1,2681609.147,1252912.185
204.08745,1,2681519.101,1253289.652
189.78532,3,2681769.619,1242277.977
18.31554,4,2681785.663,1245342.696
191.40138,2,2681700.625,1253744.604
116.85498,3,2681980.352,1242326.895
76.8408,3,2681999.364,1242760.277
175.61842,2,2682018.58,1250599.073
53.82307,2,2682062.091,1251046.873
182.98555,2,2682044.763,1254046.58
118.65348,2,2682322.653,1252478.268
61.85592,2,2682737.957,1242762.765
83.14006,3,2682839.259,1245252.849
19.67582,2,2682981.707,1250741.956
47.32048,2,2683251.101,1243231.272
304.67067,3,2684095.737,1249816.796
294.3174,1,2684788.574,1249174.941
355.38467,2,2684747.691,1249863.214
