ARPS,ABC,FIRST_STAT,BFSNR,NBC,GEMEINDE,STAND,BCLAB,SHAPE.AREA,SHAPE.LEN
1,B,,261,1,Zürich,2019,Ueberbaut,30874.085837615,1201.87619045835
49,B,,161,1,Zollikon,2019,Ueberbaut,100256.857621015,2947.35551858492
1,B,,261,1,Zürich,2019,Ueberbaut,2013.23712982,183.962138719894
1,B,,261,1,Zürich,2019,Ueberbaut,8663.47283254,371.883648046227
1,B,,261,1,Zürich,2019,Ueberbaut,3873.4592931,269.743886691396
1,B,,261,1,Zürich,2019,Ueberbaut,3703.513906465,268.385613476375
1,B,,261,1,Zürich,2019,Ueberbaut,3821.17132776,248.973636012947
1,B,,261,1,Zürich,2019,Ueberbaut,4840.369371175,312.992185918864
1,B,,261,1,Zürich,2019,Ueberbaut,579.60090005,112.41270476027
1,B,,261,1,Zürich,2019,Ueberbaut,7061.470473765,387.250103117202
1,B,,261,1,Zürich,2019,Ueberbaut,1877.718610565,230.851617099905
1,TR,,261,11,Zürich,2019,Technischer Rest,611.7379853,172.505029132372
1,B,,261,1,Zürich,2019,Ueberbaut,1108.017614475,136.997026613208
1,B,,261,1,Zürich,2019,Ueberbaut,4114.688933855,282.774815040602
1,B,,261,1,Zürich,2019,Ueberbaut,8.453172385,19.9726542753667
1,B,,261,1,Zürich,2019,Ueberbaut,3367.105222995,253.151779407841
1,TR,,261,11,Zürich,2019,Technischer Rest,5299.630186475,306.104619718007
1,B,,261,1,Zürich,2019,Ueberbaut,1729.01914763,229.804929299446
1,B,,261,1,Zürich,2019,Ueberbaut,3615.04822647,256.757831306324
1,B,,261,1,Zürich,2019,Ueberbaut,4538.2885075,276.163028064462
1,B,,261,1,Zürich,2019,Ueberbaut,2809.63202626,211.30874425741
1,B,,261,1,Zürich,2019,Ueberbaut,1336.2878995,196.256052655228
1,B,,261,1,Zürich,2019,Ueberbaut,1411.6708873,150.175620748821
1,B,,261,1,Zürich,2019,Ueberbaut,21907.53001868,809.897854136496
1,B,,261,1,Zürich,2019,Ueberbaut,24274.033347565,982.119243568373
1,S,,261,2,Zürich,2019,Sofort baureif,565.15783497,98.8328778378759
1,TR,,261,11,Zürich,2019,Technischer Rest,2020.224102,432.737056444257
1,S,,261,2,Zürich,2019,Sofort baureif,512.21144436,89.9003442713081
1,TR,,261,11,Zürich,2019,Technischer Rest,10122.0616315,450.610553603217
1,TR,,261,11,Zürich,2019,Technischer Rest,2651.4565729,468.942564933094
1,B,,261,1,Zürich,2019,Ueberbaut,8140.858902845,781.513385661721
1,B,,261,1,Zürich,2019,Ueberbaut,21482.46218876,1266.06293886465
1,B,,261,1,Zürich,2019,Ueberbaut,21555.412138085,1014.59124466141
1,S,,261,2,Zürich,2019,Sofort baureif,555.11172757,100.739354157534
1,B,,261,1,Zürich,2019,Ueberbaut,24856.574873555,896.253658816591
1,TR,,261,11,Zürich,2019,Technischer Rest,7358.624247425,353.252123229613
1,B,,261,1,Zürich,2019,Ueberbaut,910.924975,175.334264473898
1,B,,261,1,Zürich,2019,Ueberbaut,7985.657601705,364.743753117776
1,B,,261,1,Zürich,2019,Ueberbaut,7010.24852837,359.734850418367
1,B,,261,1,Zürich,2019,Ueberbaut,6052.83189985,388.593105276684
1,B,,261,1,Zürich,2019,Ueberbaut,4829.9848686,280.544523556419
1,S,,261,2,Zürich,2019,Sofort baureif,456.151065245,92.821351881767
1,B,,261,1,Zürich,2019,Ueberbaut,5198.83845361,352.044749775039
1,B,,261,1,Zürich,2019,Ueberbaut,42231.28951856,1006.53071947207
1,B,,261,1,Zürich,2019,Ueberbaut,9029.857034395,534.292253739744
1,B,,261,1,Zürich,2019,Ueberbaut,15656.066510335,778.257822541592
1,B,,261,1,Zürich,2019,Ueberbaut,584.81568445,116.031415044002
1,B,,261,1,Zürich,2019,Ueberbaut,3187.179469755,255.054641662119
1,B,,261,1,Zürich,2019,Ueberbaut,3684.56666911,622.043427262464
1,S,,261,2,Zürich,2019,Sofort baureif,869.7793832,114.413452052283
1,B,,261,1,Zürich,2019,Ueberbaut,4307.07420267,343.109966908901
1,B,,261,1,Zürich,2019,Ueberbaut,2627.03241544,218.705031310441
1,S,,261,2,Zürich,2019,Sofort baureif,3654.19722273,246.346720587857
1,B,,261,1,Zürich,2019,Ueberbaut,20544.15330036,831.20491530991
1,B,,261,1,Zürich,2019,Ueberbaut,9045.09898262,809.644608806097
